receiver_id,name,latitude,longitude,veg_only
1,NGO_1,19.018543053481313,72.75785729642169,no
2,NGO_2,19.277821437884462,72.90910260281595,yes
3,NGO_3,19.179397273815134,72.82858899526909,yes
4,NGO_4,19.11939631788867,72.87714267279118,no
5,NGO_5,18.920208388199097,72.97689161848152,no
6,NGO_6,18.920197534151292,72.81232305728722,yes
7,NGO_7,18.876137625475693,72.8525957307589,yes
8,NGO_8,19.23977926559872,72.93888778463577,no
9,NGO_9,19.120501755284444,72.80719954137291,yes
10,NGO_10,19.16863266000822,72.76924497745719,yes
11,NGO_11,18.85926302243311,72.82243786322844,no
12,NGO_12,19.2864594334729,72.7903053218135,no
13,NGO_13,19.22459918836019,72.98242441308564,no
14,NGO_14,18.945552599805225,72.9520300948911,yes
15,NGO_15,18.931821235243195,72.9083509391276,no
16,NGO_16,18.932532029434046,72.96786514754693,yes
17,NGO_17,18.986909009331793,72.95091801922477,yes
18,NGO_18,19.08614039423451,72.79664251472151,no
19,NGO_19,19.044375258388953,72.97313974962249,no
20,NGO_20,18.98105311308912,72.88483556047892,no
21,NGO_21,19.12533380262507,72.95186003879101,no
22,NGO_22,18.91277223729342,72.97402282498088,no
23,NGO_23,18.98146509184085,72.82950086874297,yes
24,NGO_24,19.014862829482162,72.77751298113192,yes
25,NGO_25,19.05523149289767,72.80698379063548,yes
26,NGO_26,19.203329182626856,72.85677694715656,yes
27,NGO_27,18.939853201971264,72.95450369148062,no
28,NGO_28,19.081405497286127,72.96518264581408,yes
29,NGO_29,19.11658655598792,72.7517380326328,no
30,NGO_30,18.870902685724,72.87768682564439,no
31,NGO_31,19.123395183355647,72.8543527507872,no
32,NGO_32,18.92673585565928,72.80552695261768,no
33,NGO_33,18.879273216843377,72.77996634183341,no
34,NGO_34,19.276998491764,72.8344037928509,no
35,NGO_35,19.284534414883552,72.98572742597813,yes
36,NGO_36,19.213778806652407,72.83080073300519,no
37,NGO_37,18.98707619612802,72.87969765543585,yes
38,NGO_38,18.893952451302873,72.9257547397238,yes
39,NGO_39,19.157904861930472,72.84090740059483,no
40,NGO_40,19.04806862218282,72.99294552068024,yes
41,NGO_41,18.904917205680153,72.99061182373553,no
42,NGO_42,19.072829609550073,72.81294557395634,no
43,NGO_43,18.86547483450185,72.8743121264731,no
44,NGO_44,19.259194180935452,72.82521957745419,yes
45,NGO_45,18.96645099172001,72.82121012359437,yes
46,NGO_46,19.14813502795929,72.75922173683864,no
47,NGO_47,18.990269984240236,72.90239108349498,no
48,NGO_48,19.084030609530014,72.87566975580721,no
49,NGO_49,19.09601962570448,72.7628696878125,no
50,NGO_50,18.93318450498649,72.81966161605915,no
51,NGO_51,19.28631308249405,72.97706647149167,yes
52,NGO_52,19.1988097705125,72.80989047266674,yes
53,NGO_53,19.272774523703887,72.78622371802281,no
54,NGO_54,19.252672307692443,72.8723631900694,yes
55,NGO_55,19.11905499046499,72.99641261352765,yes
56,NGO_56,19.264843405760402,72.81051381787788,no
57,NGO_57,18.889821625923364,72.91803388685148,no
58,NGO_58,18.938192288088615,72.94040490383217,no
59,NGO_59,18.870352280009744,72.8094093859981,no
60,NGO_60,18.99639864884347,72.93205408715296,yes
61,NGO_61,18.49716932242237,73.84194578317981,no
62,NGO_62,18.467837257943472,73.90807645764839,no
63,NGO_63,18.607184377287982,73.90838242769023,yes
64,NGO_64,18.489188331673397,73.88394367101868,no
65,NGO_65,18.470233627421845,73.7725724425136,no
66,NGO_66,18.53567402078956,73.95882562389731,no
67,NGO_67,18.43523105624369,73.83019501624294,no
68,NGO_68,18.600549245188507,73.79662962759997,no
69,NGO_69,18.41863766091994,73.7601937853887,yes
70,NGO_70,18.646721734150127,73.89772323579706,yes
71,NGO_71,18.593061192324164,73.91939109046056,no
72,NGO_72,18.44967892038354,73.75414695723197,no
73,NGO_73,18.4013805292809,73.87802326457482,no
74,NGO_74,18.60386535711371,73.80662394379948,no
75,NGO_75,18.576714335961903,73.91129319760236,no
76,NGO_76,18.582251792010247,73.79359160725124,no
77,NGO_77,18.592817586671487,73.92273443452562,no
78,NGO_78,18.41851116293352,73.84668383657514,no
79,NGO_79,18.489616432136067,73.98418249718418,no
80,NGO_80,18.42896726488128,73.7843802360365,no
81,NGO_81,18.615775856468897,73.83526658776256,no
82,NGO_82,18.55582453170689,73.77836838031014,yes
83,NGO_83,18.48272450621316,73.98117340456965,yes
84,NGO_84,18.415889587571506,73.96933483834525,yes
85,NGO_85,18.477745580428913,73.8144854069288,no
86,NGO_86,18.481295830506685,73.91499601150855,yes
87,NGO_87,18.582401544584513,73.95430555005031,no
88,NGO_88,18.5593893678388,73.88880020289986,no
89,NGO_89,18.62180318564408,73.882412644589,yes
90,NGO_90,18.518053731290486,73.81046307272511,no
91,NGO_91,18.429898561484574,73.77327569195147,yes
92,NGO_92,18.578311196805746,73.97430393948834,yes
93,NGO_93,18.590196262154222,73.97510451429083,no
94,NGO_94,18.540319299392372,73.90827536431831,yes
95,NGO_95,18.59274179498864,73.83475744776217,yes
96,NGO_96,18.523448899091097,73.83730239365316,no
97,NGO_97,18.530683207345497,73.93148891971757,no
98,NGO_98,18.506885254589637,73.97427756498814,yes
99,NGO_99,18.406354781686023,73.97177160606628,no
100,NGO_100,18.426972856748325,73.94496888646441,yes
